date,timestamp,temperature,temperature_max,temperature_min,humidity,dew,windspeed,wind_direction,wind_rec,windspeed_max,windspeed_max_direction,temperature_feeling,heat_index,thw_index,pressure,rain,rain_intensity,heat_degrees,cold_degrees,temperature_interior,humidity_interior,dew_interior,heat_index_interior,air_density_interior,wind_direction_degrees,tx_wind,iss_reception,arc_interior
2024-07-02,2024-07-02 00:15:00,18.2,18.3,18.2,90,16.6,1.6,O,0.4,6.4,ONO,18.2,18.8,18.8,1017.1,0.0,0.0,0.001,0.0,24.8,62,17.1,25.4,11.22,1.167,348,1,100.0
2024-07-02,2024-07-02 00:30:00,18.2,18.2,18.1,90,16.5,1.6,ONO,0.4,6.4,ONO,18.2,18.7,18.7,1017.1,0.0,0.0,0.002,0.0,24.8,62,17.0,25.3,11.22,1.1673,351,1,100.0
2024-07-02,2024-07-02 00:45:00,18.0,18.1,17.9,90,16.3,1.6,ONO,0.4,4.8,ONO,18.0,18.5,18.5,1017.0,0.0,0.0,0.003,0.0,24.7,62,16.9,25.2,11.22,1.1677,351,1,100.0
2024-07-02,2024-07-02 01:00:00,17.8,17.9,17.6,90,16.1,1.6,ONO,0.4,4.8,ONO,17.8,18.2,18.2,1016.9,0.0,0.0,0.006,0.0,24.6,62,16.8,25.1,11.22,1.1679,350,1,100.0
2024-07-02,2024-07-02 01:15:00,17.7,17.8,17.6,89,15.9,3.2,ONO,0.8,8.0,SO,17.7,18.2,18.2,1016.7,0.0,0.0,0.006,0.0,24.5,62,16.7,25.0,11.23,1.1683,352,1,100.0
2024-07-02,2024-07-02 01:30:00,17.7,17.8,17.7,87,15.5,3.2,ONO,0.8,11.3,ONO,17.7,18.1,18.1,1016.7,0.0,0.0,0.006,0.0,24.4,62,16.7,24.9,11.23,1.1686,351,1,100.0
2024-07-02,2024-07-02 01:45:00,17.8,17.9,17.8,84,15.1,3.2,NO,0.8,12.9,O,17.8,18.2,18.2,1016.8,0.0,0.0,0.005,0.0,24.4,62,16.6,24.9,11.23,1.1689,351,1,100.0
2024-07-02,2024-07-02 02:00:00,18.0,18.1,17.9,82,14.9,1.6,ONO,0.4,4.8,NO,18.0,18.3,18.3,1016.8,0.0,0.0,0.003,0.0,24.3,63,16.8,24.8,11.44,1.1692,350,1,100.0
2024-07-02,2024-07-02 02:15:00,18.1,18.1,17.9,79,14.4,3.2,ONO,0.8,9.7,NO,18.1,18.3,18.3,1016.8,0.0,0.0,0.003,0.0,24.2,63,16.7,24.8,11.44,1.1695,350,1,100.0
2024-07-02,2024-07-02 02:30:00,17.9,18.1,17.7,77,13.8,4.8,ONO,1.21,9.7,O,17.9,18.1,18.1,1016.7,0.0,0.0,0.005,0.0,24.2,63,16.7,24.8,11.44,1.1697,351,1,100.0
2024-07-02,2024-07-02 02:45:00,17.7,17.7,17.6,76,13.4,4.8,NO,1.21,12.9,OSO,17.7,17.7,17.7,1016.8,0.0,0.0,0.007,0.0,24.1,63,16.6,24.7,11.44,1.1703,351,1,100.0
2024-07-02,2024-07-02 03:00:00,17.6,17.6,17.5,75,13.1,4.8,NO,1.21,9.7,ONO,17.6,17.6,17.6,1016.7,0.0,0.0,0.008,0.0,24.0,63,16.5,24.6,11.45,1.1705,350,1,100.0
2024-07-02,2024-07-02 03:15:00,17.4,17.5,17.2,75,12.9,4.8,ONO,1.21,12.9,ONO,17.4,17.4,17.4,1016.6,0.0,0.0,0.01,0.0,23.9,63,16.5,24.6,11.45,1.1707,351,1,100.0
2024-07-02,2024-07-02 03:30:00,17.1,17.2,16.9,76,12.8,4.8,NO,1.21,11.3,ONO,17.1,17.1,17.1,1016.6,0.0,0.0,0.013,0.0,23.9,63,16.4,24.5,11.45,1.171,351,1,100.0
2024-07-02,2024-07-02 03:45:00,16.8,16.9,16.7,77,12.8,3.2,NO,0.8,8.0,ONO,16.8,16.8,16.8,1016.5,0.0,0.0,0.016,0.0,23.8,63,16.3,24.4,11.45,1.1714,350,1,100.0
2024-07-02,2024-07-02 04:00:00,16.7,16.7,16.6,76,12.4,4.8,NO,1.21,16.1,NO,16.7,16.6,16.6,1016.4,0.0,0.0,0.017,0.0,23.7,63,16.3,24.3,11.46,1.1717,351,1,100.0
2024-07-02,2024-07-02 04:15:00,16.6,16.7,16.5,77,12.6,4.8,ONO,1.21,9.7,O,16.6,16.6,16.6,1016.4,0.0,0.0,0.018,0.0,23.7,63,16.2,24.3,11.46,1.1719,351,1,100.0
2024-07-02,2024-07-02 04:30:00,16.3,16.5,16.2,78,12.5,4.8,ONO,1.21,11.3,NO,16.3,16.3,16.3,1016.4,0.0,0.0,0.021,0.0,23.6,63,16.2,24.2,11.46,1.1722,352,1,100.0
2024-07-02,2024-07-02 04:45:00,16.2,16.3,16.2,79,12.6,4.8,NO,1.21,9.7,ONO,16.2,16.2,16.2,1016.4,0.0,0.0,0.022,0.0,23.5,63,16.0,24.1,11.46,1.1728,351,1,100.0
