date,timestamp,temperature,temperature_max,temperature_min,humidity,dew,windspeed,wind_direction,wind_rec,windspeed_max,windspeed_max_direction,temperature_feeling,heat_index,thw_index,pressure,rain,rain_intensity,heat_degrees,cold_degrees,temperature_interior,humidity_interior,dew_interior,heat_index_interior,air_density_interior,wind_direction_degrees,tx_wind,iss_reception,arc_interior
2025-03-13,2025-03-13 00:15:00,8.1,8.3,7.8,89,6.4,1.6,ENE,0.4,4.8,ENE,8.1,8.1,8.1,998.8,0.0,0.0,0.107,0.0,22.6,54,12.8,22.4,9.9,1.1599,349,1,100.0
2025-03-13,2025-03-13 00:30:00,8.2,8.3,7.9,88,6.4,1.6,NO,0.4,4.8,NO,8.2,8.3,8.3,998.6,0.0,0.0,0.105,0.0,22.2,54,12.4,21.8,9.91,1.1617,352,1,100.0
2025-03-13,2025-03-13 00:45:00,7.8,7.9,7.8,88,6.0,1.6,NO,0.4,4.8,NO,7.8,7.9,7.9,998.6,0.0,0.0,0.109,0.0,21.8,55,12.4,21.4,10.12,1.163,351,1,100.0
2025-03-13,2025-03-13 01:00:00,7.8,7.8,7.8,89,6.1,0.0,NO,0.0,3.2,NO,7.8,7.8,7.8,998.6,0.0,0.0,0.11,0.0,21.5,55,12.1,20.9,10.14,1.1646,351,1,100.0
2025-03-13,2025-03-13 01:15:00,7.7,7.8,7.5,89,6.0,0.0,NO,0.0,1.6,NO,7.7,7.7,7.7,998.6,0.0,0.0,0.111,0.0,21.2,56,12.0,20.5,10.35,1.166,351,1,100.0
2025-03-13,2025-03-13 01:30:00,7.3,7.5,7.3,90,5.8,0.0,NO,0.0,1.6,NO,7.3,7.4,7.4,998.4,0.0,0.0,0.115,0.0,20.8,56,11.7,20.2,10.36,1.1674,352,1,100.0
2025-03-13,2025-03-13 01:45:00,7.3,7.3,7.2,91,5.9,1.6,NO,0.4,3.2,NO,7.3,7.3,7.3,998.3,0.0,0.0,0.115,0.0,20.6,57,11.7,20.1,10.57,1.1684,351,1,100.0
2025-03-13,2025-03-13 02:00:00,7.2,7.2,7.1,91,5.8,0.0,NO,0.0,1.6,NO,7.2,7.2,7.2,997.9,0.0,0.0,0.116,0.0,20.2,57,11.4,19.8,10.58,1.1696,351,1,100.0
2025-03-13,2025-03-13 02:15:00,7.1,7.1,7.0,92,5.8,0.0,NO,0.0,6.4,NO,7.1,7.1,7.1,997.9,0.0,0.0,0.117,0.0,20.0,57,11.2,19.7,10.59,1.1706,351,1,100.0
2025-03-13,2025-03-13 02:30:00,6.7,7.1,6.4,91,5.4,3.2,NO,0.8,8.0,NO,6.7,6.8,6.8,997.5,0.0,0.0,0.121,0.0,19.8,58,11.3,19.4,10.75,1.171,351,1,100.0
2025-03-13,2025-03-13 02:45:00,6.4,6.4,6.3,92,5.2,1.6,NO,0.4,4.8,NO,6.4,6.5,6.5,997.3,0.0,0.0,0.124,0.0,19.6,58,11.1,19.2,10.75,1.1718,351,1,100.0
2025-03-13,2025-03-13 03:00:00,6.4,6.4,6.4,92,5.2,0.0,NO,0.0,1.6,NO,6.4,6.5,6.5,997.2,0.0,0.0,0.124,0.0,19.4,58,10.9,19.0,10.75,1.1726,351,1,100.0
2025-03-13,2025-03-13 03:15:00,6.4,6.4,6.4,92,5.2,0.0,,0.0,0.0,,6.4,6.5,6.5,997.1,0.0,0.0,0.124,0.0,19.2,59,11.0,18.8,10.95,1.1733,351,1,100.0
2025-03-13,2025-03-13 03:30:00,6.4,6.4,6.4,93,5.4,0.0,NO,0.0,3.2,NO,6.4,6.5,6.5,997.0,0.0,0.0,0.124,0.0,18.9,59,10.8,18.5,10.95,1.1743,351,1,100.0
2025-03-13,2025-03-13 03:45:00,6.4,6.4,6.4,92,5.2,3.2,NO,0.8,6.4,NO,6.4,6.5,6.5,996.9,0.0,0.0,0.124,0.0,18.8,59,10.6,18.3,10.95,1.175,351,1,100.0
2025-03-13,2025-03-13 04:00:00,6.4,6.5,6.4,92,5.2,1.6,NO,0.4,6.4,NO,6.4,6.5,6.5,997.2,0.0,0.0,0.124,0.0,18.6,59,10.4,18.2,10.95,1.1762,351,1,100.0
2025-03-13,2025-03-13 04:15:00,6.3,6.4,6.2,92,5.1,0.0,NO,0.0,3.2,NO,6.3,6.3,6.3,997.1,0.0,0.0,0.126,0.0,18.4,60,10.5,18.0,11.05,1.1766,351,1,100.0
2025-03-13,2025-03-13 04:30:00,6.2,6.3,6.2,92,5.0,0.0,NO,0.0,1.6,NO,6.2,6.3,6.3,997.2,0.0,0.0,0.126,0.0,18.3,60,10.4,17.9,11.05,1.1773,351,1,100.0
2025-03-13,2025-03-13 04:45:00,6.1,6.2,6.1,93,5.1,0.0,NO,0.0,1.6,NO,6.1,6.2,6.2,997.2,0.0,0.0,0.127,0.0,18.2,60,10.3,17.7,11.06,1.1782,352,1,100.0
2025-03-13,2025-03-13 05:00:00,6.1,6.2,6.1,93,5.1,0.0,NO,0.0,1.6,NO,6.1,6.2,6.2,997.4,0.0,0.0,0.127,0.0,18.1,60,10.2,17.6,11.06,1.179,350,1,100.0
2025-03-13,2025-03-13 05:15:00,5.7,6.1,5.5,93,4.7,0.0,NO,0.0,1.6,NO,5.7,5.8,5.8,997.3,0.0,0.0,0.131,0.0,18.1,60,10.2,17.6,11.06,1.1788,351,1,100.0
2025-03-13,2025-03-13 05:30:00,5.6,5.7,5.5,93,4.5,0.0,NO,0.0,1.6,NO,5.6,5.6,5.6,997.3,0.0,0.0,0.133,0.0,18.3,59,10.1,17.8,10.95,1.178,349,1,100.0
2025-03-13,2025-03-13 05:45:00,5.8,5.9,5.7,94,4.9,0.0,NO,0.0,1.6,NO,5.8,5.8,5.8,997.5,0.0,0.0,0.131,0.0,18.6,59,10.4,18.1,10.95,1.1768,349,1,100.0
2025-03-13,2025-03-13 06:00:00,5.9,5.9,5.8,93,4.8,0.0,NO,0.0,1.6,NO,5.9,5.9,5.9,997.5,0.0,0.0,0.13,0.0,19.3,58,10.8,18.9,10.75,1.1735,351,1,100.0
2025-03-13,2025-03-13 06:15:00,5.8,5.8,5.8,93,4.8,0.0,,0.0,0.0,,5.8,5.9,5.9,997.5,0.0,0.0,0.13,0.0,20.1,57,11.3,19.8,10.59,1.1697,351,1,100.0
2025-03-13,2025-03-13 06:30:00,5.8,5.8,5.7,94,4.9,1.6,E,0.4,4.8,E,5.8,5.8,5.8,997.6,0.0,0.0,0.131,0.0,20.6,56,11.5,20.1,10.37,1.1676,351,1,100.0
2025-03-13,2025-03-13 06:45:00,5.7,5.8,5.6,94,4.8,0.0,NE,0.0,4.8,NO,5.7,5.8,5.8,997.8,0.0,0.0,0.131,0.0,20.9,55,11.6,20.3,10.16,1.1664,350,1,100.0
2025-03-13,2025-03-13 07:00:00,5.7,5.8,5.6,94,4.8,3.2,NO,0.8,8.0,NO,5.7,5.8,5.8,997.9,0.0,0.0,0.131,0.0,21.2,55,11.8,20.6,10.15,1.1652,352,1,100.0
2025-03-13,2025-03-13 07:15:00,5.9,6.1,5.8,94,5.0,4.8,NO,1.21,8.0,NO,5.2,5.9,5.2,998.0,0.0,0.0,0.13,0.0,21.6,54,11.8,20.9,9.93,1.1639,350,1,100.0
2025-03-13,2025-03-13 07:30:00,6.3,6.6,6.1,94,5.4,1.6,NO,0.4,6.4,NO,6.3,6.4,6.4,998.0,0.0,0.0,0.125,0.0,21.9,53,11.9,21.4,9.79,1.1623,351,1,100.0
2025-03-13,2025-03-13 07:45:00,7.0,7.3,6.6,93,5.9,1.6,NO,0.4,4.8,NO,7.0,7.1,7.1,998.1,0.0,0.0,0.118,0.0,22.5,53,12.4,22.3,9.75,1.1597,351,1,100.0
2025-03-13,2025-03-13 08:00:00,7.6,7.9,7.3,93,6.5,3.2,E,0.8,8.0,E,7.6,7.7,7.7,998.2,0.0,0.0,0.112,0.0,23.2,53,13.1,23.1,9.7,1.1565,351,1,100.0
2025-03-13,2025-03-13 08:15:00,8.1,8.2,7.9,93,7.0,3.2,ENE,0.8,11.3,ENE,8.1,8.2,8.2,998.1,0.0,0.0,0.107,0.0,23.7,52,13.2,23.7,9.56,1.1542,352,1,100.0
2025-03-13,2025-03-13 08:30:00,8.5,8.9,8.2,93,7.4,3.2,E,0.8,11.3,ESE,8.5,8.7,8.7,998.0,0.0,0.0,0.102,0.0,24.0,52,13.5,24.1,9.55,1.1524,351,1,100.0
2025-03-13,2025-03-13 08:45:00,9.3,9.7,8.9,91,7.9,3.2,ENE,0.8,9.7,E,9.3,9.5,9.5,997.9,0.0,0.0,0.094,0.0,24.3,51,13.5,24.4,9.35,1.1511,350,1,100.0
2025-03-13,2025-03-13 09:00:00,9.9,10.0,9.7,88,8.0,3.2,E,0.8,9.7,E,9.9,10.0,10.0,997.9,0.0,0.0,0.088,0.0,24.5,51,13.7,24.5,9.35,1.1503,351,1,100.0
2025-03-13,2025-03-13 09:15:00,9.9,10.3,9.8,88,8.0,1.6,E,0.4,8.0,E,9.9,10.1,10.1,998.1,0.0,0.0,0.087,0.0,24.3,51,13.5,24.4,9.35,1.1513,352,1,100.0
2025-03-13,2025-03-13 09:30:00,10.8,11.1,10.3,84,8.2,3.2,E,0.8,11.3,E,10.8,10.8,10.8,997.9,0.0,0.0,0.078,0.0,24.1,52,13.6,24.2,9.54,1.1518,350,1,100.0
2025-03-13,2025-03-13 09:45:00,11.1,11.2,11.0,85,8.6,1.6,E,0.4,8.0,ENE,11.1,11.1,11.1,997.9,0.0,0.0,0.076,0.0,23.8,50,12.8,23.9,9.25,1.1538,351,1,100.0
2025-03-13,2025-03-13 10:00:00,11.5,11.7,11.2,82,8.5,1.6,E,0.4,6.4,ESE,11.5,11.4,11.4,998.0,0.0,0.0,0.071,0.0,23.6,52,13.1,23.6,9.56,1.1546,351,1,100.0
2025-03-13,2025-03-13 10:15:00,11.9,12.3,11.7,81,8.8,1.6,ENE,0.4,8.0,E,11.9,11.8,11.8,997.7,0.0,0.0,0.067,0.0,23.5,52,13.1,23.5,9.56,1.1546,352,1,100.0
2025-03-13,2025-03-13 10:30:00,13.0,13.4,12.3,76,8.9,1.6,E,0.4,9.7,E,13.0,12.7,12.7,997.4,0.0,0.0,0.056,0.0,23.6,54,13.7,23.7,9.86,1.1533,351,1,100.0
2025-03-13,2025-03-13 10:45:00,13.7,13.9,13.4,74,9.1,1.6,S,0.4,4.8,SSO,13.7,13.3,13.3,997.4,0.0,0.0,0.049,0.0,23.6,55,14.0,23.7,10.06,1.1529,350,1,100.0
2025-03-13,2025-03-13 11:00:00,13.8,13.9,13.6,72,8.8,3.2,ENE,0.8,8.0,E,13.8,13.4,13.4,997.4,0.0,0.0,0.047,0.0,23.5,55,13.9,23.7,10.06,1.1533,351,1,100.0
2025-03-13,2025-03-13 11:15:00,13.6,13.9,13.4,69,8.0,1.6,S,0.4,6.4,SSE,13.6,13.2,13.2,997.4,0.0,0.0,0.049,0.0,23.3,50,12.3,23.1,9.25,1.156,351,1,100.0
2025-03-13,2025-03-13 11:30:00,14.0,14.1,13.9,67,8.0,1.6,S,0.4,8.0,E,14.0,13.5,13.5,997.3,0.0,0.0,0.045,0.0,22.8,49,11.6,22.5,9.05,1.1584,352,1,100.0
2025-03-13,2025-03-13 11:45:00,13.8,14.0,13.7,68,8.0,1.6,S,0.4,8.0,SSE,13.8,13.3,13.3,997.3,0.0,0.0,0.047,0.0,22.7,48,11.1,22.3,8.91,1.1592,350,1,100.0
2025-03-13,2025-03-13 12:00:00,14.1,14.4,13.8,68,8.3,1.6,E,0.4,12.9,SSE,14.1,13.6,13.6,997.3,0.0,0.0,0.044,0.0,22.9,48,11.3,22.6,8.92,1.1582,351,1,100.0
2025-03-13,2025-03-13 12:15:00,14.1,14.4,13.9,72,9.1,3.2,E,0.8,12.9,SSE,14.1,13.7,13.7,997.1,0.0,0.0,0.045,0.0,23.3,47,11.4,23.1,8.75,1.1563,351,1,100.0
2025-03-13,2025-03-13 12:30:00,13.4,13.9,13.0,77,9.4,3.2,E,0.8,12.9,E,13.4,13.1,13.1,996.9,0.0,0.0,0.052,0.0,23.4,48,11.8,23.2,8.93,1.1556,351,1,100.0
2025-03-13,2025-03-13 12:45:00,12.8,12.9,12.7,78,9.1,3.2,ENE,0.8,11.3,ESE,12.8,12.6,12.6,996.7,0.0,0.0,0.057,0.0,23.4,48,11.8,23.3,8.93,1.155,351,1,100.0
2025-03-13,2025-03-13 13:00:00,12.8,12.8,12.7,80,9.4,0.0,ENE,0.0,4.8,ESE,12.8,12.6,12.6,996.5,0.0,0.0,0.058,0.0,23.5,49,12.2,23.4,9.05,1.1542,350,1,100.0
2025-03-13,2025-03-13 13:15:00,12.7,12.8,12.5,82,9.7,0.0,ENE,0.0,3.2,ENE,12.7,12.6,12.6,996.6,0.6,6.6,0.058,0.0,23.6,48,11.9,23.4,8.94,1.1544,350,1,100.0
2025-03-13,2025-03-13 13:30:00,11.6,12.4,10.8,84,9.0,0.0,E,0.0,4.8,ESE,11.6,11.6,11.6,996.6,3.6,36.4,0.07,0.0,23.6,49,12.2,23.4,9.05,1.1541,350,1,100.0
2025-03-13,2025-03-13 13:45:00,10.7,10.8,10.4,88,8.8,1.6,E,0.4,11.3,ESE,10.7,10.7,10.7,996.3,1.0,15.0,0.08,0.0,23.7,51,13.0,23.8,9.36,1.1522,351,1,100.0
2025-03-13,2025-03-13 14:00:00,10.2,10.4,9.9,90,8.7,1.6,ESE,0.4,8.0,SE,10.2,10.4,10.4,996.4,2.4,45.8,0.084,0.0,23.9,51,13.2,24.1,9.35,1.1512,351,1,100.0
2025-03-13,2025-03-13 14:15:00,9.8,9.9,9.7,92,8.5,1.6,ENE,0.4,14.5,E,9.8,10.0,10.0,996.1,1.2,13.4,0.089,0.0,24.1,51,13.3,24.1,9.35,1.1503,351,1,100.0
2025-03-13,2025-03-13 14:30:00,9.8,9.9,9.7,93,8.8,3.2,E,0.8,12.9,ESE,9.8,10.1,10.1,996.0,0.0,0.0,0.089,0.0,24.0,52,13.5,24.1,9.55,1.1502,351,1,100.0
2025-03-13,2025-03-13 14:45:00,9.8,9.8,9.8,93,8.8,3.2,E,0.8,14.5,E,9.8,10.1,10.1,996.1,0.0,0.0,0.089,0.0,24.1,52,13.6,24.2,9.54,1.1497,352,1,100.0
2025-03-13,2025-03-13 15:00:00,9.7,9.8,9.7,93,8.6,3.2,E,0.8,12.9,ENE,9.7,9.9,9.9,996.0,0.0,0.0,0.09,0.0,24.2,51,13.4,24.3,9.35,1.1493,350,1,100.0
2025-03-13,2025-03-13 15:15:00,9.7,9.8,9.7,93,8.6,1.6,E,0.4,11.3,E,9.7,9.9,9.9,995.8,0.0,0.0,0.09,0.0,24.3,51,13.5,24.3,9.35,1.1489,351,1,100.0
2025-03-13,2025-03-13 15:30:00,9.6,9.7,9.5,94,8.6,1.6,E,0.4,12.9,ENE,9.6,9.8,9.8,995.9,0.2,0.0,0.091,0.0,24.3,52,13.8,24.4,9.54,1.1487,351,1,100.0
2025-03-13,2025-03-13 15:45:00,9.4,9.6,9.2,94,8.5,4.8,E,1.21,14.5,ENE,9.2,9.7,9.4,995.8,0.0,0.0,0.093,0.0,24.3,52,13.8,24.4,9.54,1.1485,351,1,100.0
2025-03-13,2025-03-13 16:00:00,9.1,9.2,9.1,94,8.2,4.8,E,1.21,14.5,E,8.8,9.3,9.0,995.6,0.0,0.0,0.096,0.0,24.2,51,13.4,24.3,9.35,1.1489,351,1,100.0
2025-03-13,2025-03-13 16:15:00,9.1,9.1,9.0,94,8.1,3.2,E,0.8,11.3,ENE,9.1,9.3,9.3,995.7,0.0,0.0,0.097,0.0,24.2,51,13.4,24.2,9.35,1.1493,350,1,100.0
2025-03-13,2025-03-13 16:30:00,9.1,9.2,9.1,94,8.2,3.2,E,0.8,11.3,ENE,9.1,9.3,9.3,995.5,0.0,0.0,0.096,0.0,24.1,51,13.3,24.2,9.35,1.1494,351,1,100.0
2025-03-13,2025-03-13 16:45:00,9.2,9.2,9.1,94,8.3,4.8,E,1.21,12.9,ESE,8.9,9.4,9.1,995.5,0.0,0.0,0.095,0.0,24.1,51,13.3,24.1,9.35,1.1496,351,1,100.0
2025-03-13,2025-03-13 17:00:00,8.9,9.1,8.7,94,8.0,4.8,ENE,1.21,16.1,E,8.6,9.1,8.8,995.6,0.0,0.0,0.098,0.0,24.0,51,13.2,24.1,9.35,1.15,352,1,100.0
2025-03-13,2025-03-13 17:15:00,8.7,8.8,8.6,93,7.6,8.0,E,2.01,17.7,ESE,7.4,8.8,7.6,995.7,0.0,0.0,0.101,0.0,24.1,51,13.3,24.1,9.35,1.1498,351,1,100.0
2025-03-13,2025-03-13 17:30:00,8.6,8.7,8.6,93,7.5,6.4,E,1.61,16.1,ESE,7.8,8.8,7.9,995.7,0.0,0.0,0.101,0.0,23.9,51,13.2,24.1,9.35,1.1504,351,1,100.0
2025-03-13,2025-03-13 17:45:00,8.6,8.7,8.6,92,7.4,8.0,ESE,2.01,25.7,E,7.4,8.8,7.6,995.7,0.0,0.0,0.101,0.0,23.6,51,12.9,23.6,9.36,1.152,350,1,100.0
2025-03-13,2025-03-13 18:00:00,8.6,8.6,8.6,92,7.3,6.4,E,1.61,22.5,E,7.7,8.7,7.9,995.8,0.0,0.0,0.102,0.0,23.2,52,12.8,23.2,9.57,1.1537,352,1,100.0
2025-03-13,2025-03-13 18:15:00,8.6,8.6,8.5,92,7.3,4.8,E,1.21,19.3,ENE,8.2,8.7,8.3,995.7,0.2,0.0,0.102,0.0,22.9,52,12.6,22.8,9.58,1.155,351,1,100.0
2025-03-13,2025-03-13 18:30:00,8.3,8.5,8.3,93,7.3,3.2,ENE,0.8,12.9,ENE,8.3,8.5,8.5,995.8,0.0,0.0,0.104,0.0,22.9,52,12.5,22.7,9.59,1.1554,351,1,100.0
2025-03-13,2025-03-13 18:45:00,8.3,8.4,8.3,93,7.3,6.4,ENE,1.61,17.7,E,7.4,8.5,7.6,995.9,0.2,0.0,0.104,0.0,23.2,52,12.8,23.1,9.58,1.1541,350,1,100.0
2025-03-13,2025-03-13 19:00:00,8.2,8.3,8.0,93,7.1,8.0,ENE,2.01,20.9,E,6.8,8.3,6.9,995.9,0.0,0.0,0.106,0.0,23.6,51,12.8,23.6,9.36,1.1525,350,1,100.0
2025-03-13,2025-03-13 19:15:00,7.8,7.9,7.6,94,6.9,6.4,ENE,1.61,22.5,E,6.8,7.9,6.9,996.0,0.2,0.0,0.11,0.0,23.8,51,13.0,23.8,9.35,1.1516,352,1,100.0
2025-03-13,2025-03-13 19:30:00,7.4,7.6,7.3,94,6.5,6.4,ENE,1.61,16.1,ENE,6.4,7.6,6.5,996.1,0.2,0.0,0.113,0.0,23.9,50,12.8,23.9,9.25,1.1514,350,1,100.0
2025-03-13,2025-03-13 19:45:00,7.2,7.3,7.1,94,6.3,4.8,ENE,1.21,16.1,NE,6.6,7.3,6.7,996.2,0.0,0.0,0.116,0.0,24.0,50,12.9,24.1,9.25,1.1511,350,1,100.0
2025-03-13,2025-03-13 20:00:00,7.0,7.1,6.9,94,6.1,4.8,ENE,1.21,11.3,E,6.4,7.1,6.6,996.3,0.2,0.0,0.118,0.0,24.1,50,13.0,24.1,9.24,1.1509,351,1,100.0
2025-03-13,2025-03-13 20:15:00,6.9,6.9,6.8,94,6.0,1.6,E,0.4,6.4,ENE,6.9,7.0,7.0,996.4,0.4,1.0,0.119,0.0,24.2,50,13.1,24.2,9.24,1.1504,351,1,100.0
2025-03-13,2025-03-13 20:30:00,6.8,6.8,6.7,94,5.9,1.6,E,0.4,4.8,ESE,6.8,6.9,6.9,996.4,0.2,1.2,0.12,0.0,24.2,50,13.1,24.2,9.24,1.1505,351,1,100.0
2025-03-13,2025-03-13 20:45:00,6.6,6.7,6.6,94,5.7,0.0,E,0.0,4.8,NE,6.6,6.7,6.7,996.5,0.2,1.2,0.122,0.0,24.0,50,12.9,24.1,9.25,1.1515,350,1,100.0
2025-03-13,2025-03-13 21:00:00,6.5,6.6,6.4,94,5.6,0.0,ENE,0.0,1.6,ENE,6.5,6.6,6.6,996.9,0.0,0.0,0.123,0.0,23.9,50,12.8,23.9,9.25,1.1524,350,1,100.0
2025-03-13,2025-03-13 21:15:00,6.4,6.4,6.4,95,5.6,0.0,ENE,0.0,1.6,ENE,6.4,6.5,6.5,996.8,0.2,0.0,0.124,0.0,23.8,50,12.7,23.8,9.25,1.1529,348,1,100.0
2025-03-13,2025-03-13 21:30:00,6.4,6.4,6.4,95,5.7,1.6,E,0.4,4.8,E,6.4,6.6,6.6,996.7,0.6,2.0,0.124,0.0,23.7,50,12.6,23.6,9.25,1.1533,351,1,100.0
2025-03-13,2025-03-13 21:45:00,6.4,6.5,6.4,95,5.7,1.6,E,0.4,4.8,E,6.4,6.6,6.6,996.8,0.0,0.8,0.124,0.0,23.6,50,12.6,23.6,9.25,1.1536,351,1,100.0
2025-03-13,2025-03-13 22:00:00,6.4,6.5,6.4,95,5.7,0.0,ENE,0.0,6.4,ENE,6.4,6.6,6.6,996.8,0.2,0.8,0.124,0.0,23.6,51,12.8,23.6,9.36,1.1535,351,1,100.0
2025-03-13,2025-03-13 22:15:00,6.5,6.6,6.4,95,5.8,0.0,,0.0,0.0,,6.5,6.6,6.6,996.8,0.2,0.8,0.123,0.0,23.5,51,12.8,23.4,9.36,1.1538,351,1,100.0
2025-03-13,2025-03-13 22:30:00,6.5,6.6,6.4,95,5.8,0.0,,0.0,0.0,,6.5,6.6,6.6,996.7,0.0,0.0,0.123,0.0,23.5,51,12.8,23.4,9.36,1.1537,352,1,100.0
2025-03-13,2025-03-13 22:45:00,6.4,6.4,6.3,95,5.6,0.0,ENE,0.0,4.8,ENE,6.4,6.5,6.5,996.7,0.2,0.0,0.124,0.0,23.5,51,12.8,23.4,9.36,1.1538,351,1,100.0
2025-03-13,2025-03-13 23:00:00,6.3,6.3,6.3,95,5.5,0.0,ENE,0.0,1.6,ENE,6.3,6.3,6.3,996.7,0.4,1.2,0.126,0.0,23.5,51,12.8,23.4,9.36,1.1537,351,1,100.0
2025-03-13,2025-03-13 23:15:00,6.4,6.6,6.3,96,5.9,0.0,ENE,0.0,1.6,ENE,6.4,6.6,6.6,996.8,0.2,1.2,0.124,0.0,23.6,51,12.8,23.6,9.36,1.1535,351,1,100.0
2025-03-13,2025-03-13 23:30:00,6.7,6.7,6.6,96,6.1,0.0,,0.0,0.0,,6.7,6.8,6.8,996.7,0.2,1.0,0.122,0.0,23.4,51,12.7,23.3,9.37,1.1543,351,1,100.0
2025-03-13,2025-03-13 23:45:00,6.7,6.7,6.7,96,6.1,0.0,ENE,0.0,1.6,ENE,6.7,6.8,6.8,996.8,0.6,3.2,0.121,0.0,22.9,52,12.6,22.8,9.58,1.1563,351,1,100.0
2025-03-14,2025-03-14 00:00:00,6.7,6.8,6.7,96,6.1,0.0,,0.0,0.0,,6.7,6.8,6.8,996.8,0.6,3.2,0.121,0.0,22.4,52,12.1,22.1,9.6,1.1587,351,1,100.0
