date,timestamp,temperature,temperature_max,temperature_min,humidity,dew,windspeed,wind_direction,wind_rec,windspeed_max,windspeed_max_direction,temperature_feeling,heat_index,thw_index,pressure,rain,rain_intensity,heat_degrees,cold_degrees,temperature_interior,humidity_interior,dew_interior,heat_index_interior,air_density_interior,wind_direction_degrees,tx_wind,iss_reception,arc_interior
2022-10-01,2022-10-01 00:15:00,14.9,15.1,14.7,81,11.7,3.2,NE,0.8,8.0,NE,14.9,14.8,14.8,1017.2,0.0,0.0,0.036,0.0,24.2,56,14.9,24.5,10.23,1.1724,303,1,88.6
2022-10-01,2022-10-01 00:30:00,14.6,14.7,14.6,82,11.6,6.4,NE,1.61,11.3,ENE,14.6,14.6,14.6,1017.1,0.0,0.0,0.039,0.0,24.2,56,14.8,24.4,10.23,1.1727,351,1,100.0
2022-10-01,2022-10-01 00:45:00,14.5,14.6,14.4,83,11.6,3.2,NE,0.8,8.0,NE,14.5,14.4,14.4,1017.3,0.0,0.0,0.04,0.0,24.1,56,14.8,24.4,10.23,1.1731,351,1,100.0
2022-10-01,2022-10-01 01:00:00,14.4,14.4,14.3,83,11.5,3.2,NE,0.8,6.4,NE,14.4,14.3,14.3,1017.5,0.0,0.0,0.041,0.0,23.9,56,14.6,24.3,10.25,1.1743,350,1,100.0
2022-10-01,2022-10-01 01:15:00,14.2,14.3,13.9,83,11.3,1.6,NO,0.4,4.8,NO,14.2,14.1,14.1,1017.8,0.0,0.0,0.043,0.0,23.7,56,14.4,24.0,10.26,1.1757,350,1,100.0
2022-10-01,2022-10-01 01:30:00,13.8,13.9,13.7,84,11.1,0.0,NE,0.0,4.8,NE,13.8,13.7,13.7,1018.0,0.0,0.0,0.047,0.0,23.4,56,14.2,23.7,10.27,1.1774,351,1,100.0
2022-10-01,2022-10-01 01:45:00,13.8,13.9,13.8,84,11.2,3.2,ENE,0.8,4.8,NE,13.8,13.8,13.8,1018.1,0.0,0.0,0.047,0.0,23.2,57,14.2,23.4,10.4,1.1783,352,1,100.0
2022-10-01,2022-10-01 02:00:00,13.7,13.8,13.4,85,11.2,3.2,E,0.8,8.0,E,13.7,13.6,13.6,1018.3,0.0,0.0,0.049,0.0,23.0,57,14.0,23.2,10.41,1.1796,351,1,100.0
2022-10-01,2022-10-01 02:15:00,13.4,13.4,13.3,86,11.1,4.8,E,1.21,8.0,E,13.4,13.3,13.3,1018.4,0.0,0.0,0.052,0.0,22.8,57,13.8,22.9,10.43,1.1809,351,1,100.0
2022-10-01,2022-10-01 02:30:00,13.5,13.6,13.4,85,11.0,3.2,NE,0.8,8.0,ENE,13.5,13.4,13.4,1018.6,0.0,0.0,0.05,0.0,22.6,57,13.6,22.6,10.45,1.1823,350,1,100.0
2022-10-01,2022-10-01 02:45:00,13.1,13.6,12.7,85,10.6,1.6,NO,0.4,4.8,NO,13.1,13.1,13.1,1018.9,0.0,0.0,0.054,0.0,22.4,57,13.5,22.3,10.46,1.1835,351,1,100.0
