date,timestamp,temperature,temperature_max,temperature_min,humidity,dew,windspeed,wind_direction,wind_rec,windspeed_max,windspeed_max_direction,temperature_feeling,heat_index,thw_index,pressure,rain,rain_intensity,heat_degrees,cold_degrees,temperature_interior,humidity_interior,dew_interior,heat_index_interior,air_density_interior,wind_direction_degrees,tx_wind,iss_reception,arc_interior
2026-02-08,2026-02-08 00:15:00,7.8,7.8,7.7,84,5.2,3.2,NO,0.8,6.4,NO,7.8,7.8,7.8,1003.1,0.0,0.0,0.11,0.0,22.3,47,10.5,21.7,8.75,1.1683,350,1,100.0
2026-02-08,2026-02-08 00:30:00,7.8,7.8,7.7,85,5.4,3.2,NO,0.8,6.4,NO,7.8,7.8,7.8,1002.8,0.0,0.0,0.11,0.0,22.0,47,10.2,21.2,8.75,1.1696,350,1,100.0
2026-02-08,2026-02-08 00:45:00,7.7,7.8,7.6,86,5.5,3.2,NO,0.8,8.0,NO,7.7,7.7,7.7,1002.7,0.2,0.0,0.111,0.0,21.7,48,10.2,20.9,8.87,1.1705,350,1,100.0
2026-02-08,2026-02-08 01:00:00,7.6,7.7,7.6,88,5.7,1.6,NO,0.4,6.4,NO,7.6,7.6,7.6,1002.4,0.2,1.0,0.112,0.0,21.3,48,9.9,20.3,8.86,1.1721,351,1,100.0
2026-02-08,2026-02-08 01:15:00,7.6,7.6,7.6,89,5.9,0.0,NO,0.0,4.8,NO,7.6,7.6,7.6,1002.1,0.2,0.8,0.112,0.0,21.0,49,9.9,20.1,9.05,1.1731,352,1,100.0
2026-02-08,2026-02-08 01:30:00,7.4,7.6,7.3,90,5.9,0.0,NO,0.0,3.2,NO,7.4,7.5,7.5,1001.9,0.0,0.0,0.113,0.0,20.7,49,9.6,19.8,9.07,1.1744,351,1,100.0
2026-02-08,2026-02-08 01:45:00,7.3,7.4,7.3,91,6.0,0.0,,0.0,0.0,,7.3,7.4,7.4,1001.7,0.0,0.0,0.115,0.0,20.3,50,9.6,19.6,9.28,1.1755,351,1,100.0
2026-02-08,2026-02-08 02:00:00,7.3,7.3,7.2,91,5.9,0.0,ENE,0.0,3.2,ENE,7.3,7.3,7.3,1001.5,0.0,0.0,0.115,0.0,20.1,50,9.4,19.4,9.29,1.1764,351,1,100.0
2026-02-08,2026-02-08 02:15:00,7.1,7.2,7.1,91,5.7,0.0,ENE,0.0,1.6,ENE,7.1,7.2,7.2,1001.3,0.0,0.0,0.117,0.0,19.8,51,9.4,19.2,9.5,1.1772,351,1,100.0
2026-02-08,2026-02-08 02:30:00,6.9,7.1,6.7,91,5.5,0.0,NNO,0.0,1.6,NNO,6.9,6.9,6.9,1001.1,0.0,0.0,0.119,0.0,19.6,51,9.2,18.9,9.5,1.178,351,1,100.0
2026-02-08,2026-02-08 02:45:00,6.4,6.7,6.3,91,5.1,0.0,,0.0,0.0,,6.4,6.5,6.5,1001.0,0.0,0.0,0.124,0.0,19.4,51,9.0,18.7,9.51,1.1787,351,1,100.0
2026-02-08,2026-02-08 03:00:00,6.1,6.3,5.9,92,4.9,0.0,,0.0,0.0,,6.1,6.1,6.1,1001.0,0.0,0.0,0.127,0.0,19.2,52,9.1,18.5,9.72,1.1795,351,1,100.0
2026-02-08,2026-02-08 03:15:00,5.8,5.9,5.8,93,4.8,0.0,,0.0,0.0,,5.8,5.9,5.9,1000.6,0.0,0.0,0.13,0.0,19.0,52,8.9,18.2,9.73,1.1802,351,1,100.0
